"StuID","TotalAmt","LastUpdatedDate"
"419","600","2013-12-09 00:00:00"
"420","600","2013-12-09 00:00:00"
"421","600","2013-12-09 00:00:00"
"422","850","2013-12-09 00:00:00"
"423","650","2013-12-09 00:00:00"
"424","1600","2013-12-09 00:00:00"
"425","650","2013-12-09 00:00:00"
"426","650","2013-12-10 00:00:00"
"427","5250","2013-12-10 00:00:00"
"428","5250","2013-12-10 00:00:00"
"429","2200","2013-12-11 00:00:00"
"430","5250","2013-12-11 00:00:00"
"431","900","2013-12-11 00:00:00"
"432","900","2013-12-11 00:00:00"
"433","950","2013-12-11 00:00:00"
"434","650","2013-12-11 00:00:00"
"435","650","2013-12-12 00:00:00"
"436","4550","2013-12-12 00:00:00"
"437","5250","2013-12-12 00:00:00"
"438","750","2013-12-12 00:00:00"
"439","1300","2013-12-12 00:00:00"
"440","900","2013-12-12 00:00:00"
"441","1050","2013-12-12 00:00:00"
"442","5250","2013-12-13 00:00:00"
"443","5250","2013-12-13 00:00:00"
"444","4250","2013-12-13 00:00:00"
"445","1250","2013-12-14 00:00:00"
"446","1100","2013-12-14 00:00:00"
"447","600","2013-12-14 00:00:00"
"448","4950","2013-12-14 00:00:00"
"449","950","2013-12-14 00:00:00"
"450","950","2013-12-14 00:00:00"
"451","4950","2013-12-14 00:00:00"
"452","4950","2013-12-14 00:00:00"
"453","650","2013-12-16 00:00:00"
"454","650","2013-12-16 00:00:00"
"455","650","2013-12-16 00:00:00"
"456","2400","2013-12-16 00:00:00"
"457","650","2013-12-16 00:00:00"
"458","5250","2013-12-16 00:00:00"
"459","5250","2013-12-16 00:00:00"
"460","4950","2013-12-16 00:00:00"
"461","750","2013-12-16 00:00:00"
"462","950","2013-12-17 00:00:00"
"463","650","2013-12-17 00:00:00"
"464","1000","2013-12-17 00:00:00"
"465","1100","2013-12-17 00:00:00"
"466","4250","2013-12-17 00:00:00"
"467","1000","2013-12-17 00:00:00"
"468","5250","2013-12-17 00:00:00"
"469","950","2013-12-17 00:00:00"
"470","4950","2013-12-18 00:00:00"
"471","5250","2013-12-18 00:00:00"
"472","900","2013-12-18 00:00:00"
"473","5250","2013-12-19 00:00:00"
"474","5250","2013-12-19 00:00:00"
"475","5250","2013-12-19 00:00:00"
"476","4550","2013-12-19 00:00:00"
"477","4550","2013-12-19 00:00:00"
"478","4950","2013-12-19 00:00:00"
"479","2400","2013-12-21 00:00:00"
"480","5250","2013-12-23 00:00:00"
"481","1200","2013-12-23 00:00:00"
"482","900","2013-12-23 00:00:00"
"483","4950","2013-12-25 00:00:00"
"484","4250","2013-12-25 00:00:00"
"485","850","2013-12-25 00:00:00"
"486","1000","2013-12-25 00:00:00"
"487","1000","2013-12-25 00:00:00"
"487","1000","2013-12-25 00:00:00"
"488","900","2013-12-25 00:00:00"
"489","2000","2013-12-26 00:00:00"
"490","650","2013-12-26 00:00:00"
"491","650","2013-12-26 00:00:00"
"492","750","2013-12-26 00:00:00"
"493","950","2013-12-26 00:00:00"
"494","5250","2013-12-27 00:00:00"
"495","650","2013-12-27 00:00:00"
"496","900","2013-12-27 00:00:00"
"497","950","2013-12-30 00:00:00"
"498","650","2013-12-30 00:00:00"
"499","600","2013-12-30 00:00:00"
"500","600","2013-12-30 00:00:00"
"501","650","2013-12-30 00:00:00"
"502","650","2013-12-30 00:00:00"
"503","650","2013-12-30 00:00:00"
"504","650","2013-12-30 00:00:00"
"505","4250","2013-12-30 00:00:00"
"506","650","2013-12-31 00:00:00"
"507","650","2013-12-31 00:00:00"
"508","4950","2014-01-01 00:00:00"
"509","950","2014-01-01 00:00:00"
"510","750","2014-01-01 00:00:00"
"511","1200","2014-01-01 00:00:00"
"512","850","2014-01-02 00:00:00"
"513","750","2014-01-02 00:00:00"
"514","600","2014-01-02 00:00:00"
"515","650","2014-01-02 00:00:00"
"516","650","2014-01-02 00:00:00"
"517","950","2014-01-03 00:00:00"
"518","4550","2014-01-03 00:00:00"
"519","5250","2014-01-03 00:00:00"
"520","5250","2014-01-03 00:00:00"
"521","4550","2014-01-03 00:00:00"
"522","4950","2014-01-03 00:00:00"
"523","5250","2014-01-03 00:00:00"
"524","4250","2014-01-03 00:00:00"
"525","1200","2014-01-03 00:00:00"
"526","4550","2014-01-04 00:00:00"
"527","700","2014-01-04 00:00:00"
"528","1400","2014-01-04 00:00:00"
"529","2150","2014-01-04 00:00:00"
"530","650","2014-01-04 00:00:00"
"531","2100","2014-01-06 00:00:00"
"532","500","2014-01-06 00:00:00"
"533","5250","2014-01-06 00:00:00"
