"StuID","Reason","LastUpdatedDate"
"1287","CSC + REN","2014-09-20 00:00:00"
"1290","CSC","2014-09-22 00:00:00"
"1291","CSC + COA + CON","2014-09-22 00:00:00"
"1293","CSC + REN","2014-09-23 00:00:00"
"1294","CSC + COA","2014-09-24 00:00:00"
"1295","CSC + REN","2014-09-24 00:00:00"
"1300","CSC + REN","2014-09-27 00:00:00"
"1302","CSC + REN","2014-09-27 00:00:00"
"1303","CSC","2014-09-30 00:00:00"
"1304","CSC + REN","2014-09-30 00:00:00"
"1309","CSC+ REN +COA","2014-09-30 00:00:00"
"1321","C S C  +  REN","2014-10-09 00:00:00"
"1322","C S C + REN +COA","2014-10-22 00:00:00"
"1328","CSC","2014-10-11 00:00:00"
"1329","REN + CSC","2014-10-11 00:00:00"
"1342","CSC + REN + COA","2014-10-14 00:00:00"
"1343","CSC + REN","2014-10-14 00:00:00"
"1345","CSC + REN","2014-10-14 00:00:00"
"1346","CSC+COA+REN","2014-10-15 00:00:00"
"1357","CSC + REN","2014-10-18 00:00:00"
"1358","CSC + REN + COA","2014-10-18 00:00:00"
"1359","CSC + REN","2014-10-18 00:00:00"
"1360","CSC +  REN + COA","2014-10-18 00:00:00"
"1361","CSC + REN","2014-10-18 00:00:00"
"1365","CSC + REN","2014-10-20 00:00:00"
"1370","CSC + REN + COA","2014-10-21 00:00:00"
"1371","CSC + REN","2014-10-21 00:00:00"
"1373","CSC + REN","2014-10-21 00:00:00"
"1374","CSC + REN","2014-10-21 00:00:00"
"1375","CSC + REN","2014-10-22 00:00:00"
"1376","CSC + REN","2014-10-22 00:00:00"
"1377","CSC","2014-10-22 00:00:00"
"1378","CSC + REN","2014-10-22 00:00:00"
"1379","CSC","2014-10-23 00:00:00"
"1381","CSC + REN","2014-10-23 00:00:00"
"1382","CSC + CON + COA+ REN","2014-10-23 00:00:00"
"1383","CSC","2014-10-27 00:00:00"
"1391","CSC + REN","2014-10-28 00:00:00"
"1393","CSC","2014-10-29 00:00:00"
"1394","CSC + REN","2014-10-29 00:00:00"
"1395","CSC + REN","2014-10-30 00:00:00"
"1396","CSC + COA +REN","2014-10-30 00:00:00"
"1397","CSC + REN","2014-10-30 00:00:00"
"1402","CSC + REN + COA","2014-11-01 00:00:00"
"1403","CSC + REN","2014-11-01 00:00:00"
"1406","CSC + REN","2014-11-03 00:00:00"
"1407","CSC","2014-11-03 00:00:00"
"1408","CSC +COA","2014-11-03 00:00:00"
"1409","CSC +COA+REN","2014-11-03 00:00:00"
"1411","CSC + REN","2014-11-03 00:00:00"
"1416","CSC","2014-11-04 00:00:00"
"1417","CSC + REN","2014-11-05 00:00:00"
"1422","CSC + REN","2014-11-06 00:00:00"
"1423","CSC + REN","2014-11-08 00:00:00"
"1424","CSC + REN","2014-11-08 00:00:00"
"1425","CSC + REN","2014-11-08 00:00:00"
"1426","CSC + REN","2014-11-08 00:00:00"
"1427","CSC + REN","2014-11-08 00:00:00"
"1428","CSC + REN","2014-11-08 00:00:00"
"1429","CSC + REN","2014-11-08 00:00:00"
"1430","CSC + REN","2014-11-08 00:00:00"
"1439","CSC + REN","2014-11-10 00:00:00"
"1441","CSC","2014-11-11 00:00:00"
"1442","CSC + REN","2014-11-11 00:00:00"
"1443","CSC +REN +COA","2014-11-11 00:00:00"
"1444","CSC","2014-11-11 00:00:00"
"1446","CSC","2014-11-11 00:00:00"
"1448","CSC + REN","2014-11-12 00:00:00"
"1453","CSC+COA+ REN","2014-11-12 00:00:00"
"1454","CSC + REN","2014-11-12 00:00:00"
"1455","CSC + REN","2014-11-12 00:00:00"
"1458","CSC+REN+COA","2014-11-13 00:00:00"
"1466","COA + RENEWAL","2014-11-14 00:00:00"
"1468","CSC + REN","2014-11-15 00:00:00"
"1474","CSC + REN","2014-11-17 00:00:00"
