"CarFuleID","CarID","CarName","FuleDT","StartKM","CloseKM","FuleType","FuleAmt","FuleQty"
"291","3","3 - WAGON-R","January2020","143998","144454","CNG","6500","80"
"292","4","4 - HYUNDAI- I 10","January2020","101999","102390","CNG","6600","80"
"293","2","2 - SWIFT DZIRE","February2020","190370","191955","CNG","7000","81"
"294","3","3 - WAGON-R","February2020","144455","145352","CNG","6500","81"
"295","4","4 - HYUNDAI- I 10","February2020","102391","102969","CNG","6000","81"
"296","2","2 - SWIFT DZIRE","March2020","191956","192264","CNG","5800","82"
"297","3","3 - WAGON-R","March2020","145353","145520","CNG","5500","82"
"298","4","4 - HYUNDAI- I 10","March2020","102970","103051","CNG","5200","82"
"299","2","2 - SWIFT DZIRE","April2020","192265","192265","CNG","0","83"
"300","3","3 - WAGON-R","April2020","145521","145521","CNG","0","83"
"301","4","4 - HYUNDAI- I 10","April2020","103052","103052","CNG","0","83"
"302","2","2 - SWIFT DZIRE","July2020","192266","194709","CNG","6600","84"
"303","3","3 - WAGON-R","July2020","145522","146754","CNG","6400","84"
"304","4","4 - HYUNDAI- I 10","July2020","103053","103309","CNG","6200","84"
"305","2","2 - SWIFT DZIRE","August2020","194709","195284","CNG","6500","85"
"306","3","3 - WAGON-R","August2020","146754","147583","CNG","6200","85"
"307","4","4 - HYUNDAI- I 10","August2020","103309","104130","CNG","1500","85"
"308","2","2 - SWIFT DZIRE","September2020","195285","198153","CNG","6800","86"
"309","3","3 - WAGON-R","September2020","147584","149182","CNG","6500","86"
"310","4","4 - HYUNDAI- I 10","September2020","104131","104698","CNG","5800","86"
"311","2","2 - SWIFT DZIRE","October2020","198154","198989","CNG","6800","87"
"312","3","3 - WAGON-R","October2020","149183","149749","CNG","6800","87"
"313","4","4 - HYUNDAI- I 10","October2020","104699","105318","CNG","6500","87"
"314","2","2 - SWIFT DZIRE","November2020","198990","201295","CNG","7000","88"
"315","3","3 - WAGON-R","November2020","149750","150813","CNG","6500","88"
"316","4","4 - HYUNDAI- I 10","November2020","105319","106510","CNG","6500","88"
"317","2","2 - SWIFT DZIRE","December2020","201296","202748","CNG","8000","89"
"318","3","3 - WAGON-R","December2020","150814","151597","CNG","7500","89"
"319","4","4 - HYUNDAI- I 10","December2020","106511","107549","CNG","7000","89"
"320","2","2 - SWIFT DZIRE","January2021","202749","205302","CNG","8500","90"
"321","3","3 - WAGON-R","January2021","151598","153088","CNG","8500","90"
"322","4","4 - HYUNDAI- I 10","January2021","107550","109348","CNG","8000","90"
"323","2","2 - SWIFT DZIRE","February2021","205303","206217","CNG","7000","91"
"324","3","3 - WAGON-R","February2021","153089","153945","CNG","6500","91"
"325","4","4 - HYUNDAI- I 10","February2021","109349","110430","CNG","6800","91"
"326","2","2 - SWIFT DZIRE","March2021","206218","208609","CNG","7800","92"
"327","3","3 - WAGON-R","March2021","153946","155401","CNG","7500","92"
"328","4","4 - HYUNDAI- I 10","March2021","110431","112070","CNG","6800","92"
"329","2","2 - SWIFT DZIRE","April2021","208610","209159","CNG","6000","93"
"330","3","3 - WAGON-R","April2021","155402","155544","CNG","5800","93"
"331","4","4 - HYUNDAI- I 10","April2021","112071","112258","CNG","5500","93"
"332","2","2 - SWIFT DZIRE","May2021","209160","209160","CNG","0","94"
"333","3","3 - WAGON-R","May2021","155545","155547","CNG","0","94"
"334","4","4 - HYUNDAI- I 10","May2021","112259","112280","CNG","0","94"
"335","2","2 - SWIFT DZIRE","June2021","209160","210360","CNG","4000","95"
"336","3","3 - WAGON-R","June2021","155547","156468","CNG","4000","95"
"337","4","4 - HYUNDAI- I 10","June2021","112280","112383","CNG","3000","95"
"338","2","2 - SWIFT DZIRE","July2021","210361","212460","CNG","6500","96"
"339","3","3 - WAGON-R","July2021","156468","157394","CNG","6000","96"
"340","4","4 - HYUNDAI- I 10","July2021","112383","112840","CNG","5800","96"
"341","2","2 - SWIFT DZIRE","August2021","212461","214485","CNG","6500","97"
"342","3","3 - WAGON-R","August2021","157395","158811","CNG","6200","97"
"343","4","4 - HYUNDAI- I 10","August2021","112841","114797","CNG","6000","97"
"344","2","2 - SWIFT DZIRE","September2021","214486","216486","CNG","7000","98"
"345","3","3 - WAGON-R","September2021","158812","160212","CNG","6500","98"
"346","4","4 - HYUNDAI- I 10","September2021","114798","116298","CNG","6500","98"
"347","7","7 - AURA","September2021","219","4500","CNG","719","98"
"348","2","2 - SWIFT DZIRE","October2021","216486","218486","CNG","7200","99"
"349","3","3 - WAGON-R","October2021","160213","161086","CNG","6800","99"
"350","4","4 - HYUNDAI- I 10","October2021","116299","117400","CNG","6500","99"
"351","7","7 - AURA","October2021","720","1408","CNG","6000","99"
"352","2","2 - SWIFT DZIRE","November2021","218487","220987","CNG","6600","100"
"353","7","7 - AURA","November2021","2057","4408","CNG","6500","100"
"354","3","3 - WAGON-R","November2021","161087","163352","CNG","6400","100"
"355","2","2 - SWIFT DZIRE","December2021","220988","222788","CNG","6000","101"
"356","7","7 - AURA","December2021","4409","4726","CNG","6500","101"
"357","3","3 - WAGON-R","December2021","163353","163526","CNG","5800","101"
"358","2","2 - SWIFT DZIRE","January2022","222789","224800","CNG","6000","102"
"359","7","7 - AURA","January2022","4727","6727","CNG","6500","102"
"360","3","3 - WAGON-R","January2022","163527","165027","CNG","5000","102"
